DATE,ALLSKY_KT,T2M,PRECTOTCORR,PS,WS10M,Status
5/27/2017,0.5,20.1,0,87.77,0.94,TIDAK BERPOTENSI UPWELLING
5/28/2017,0.52,19.62,0,87.78,0.9,TIDAK BERPOTENSI UPWELLING
5/29/2017,0.56,19.68,0,87.78,0.76,TIDAK BERPOTENSI UPWELLING
5/30/2017,0.43,19.13,1.53,87.91,0.98,TIDAK BERPOTENSI UPWELLING
5/31/2017,0.48,18.12,1.87,87.96,1,TIDAK BERPOTENSI UPWELLING
6/1/2017,0.62,19.48,0.97,87.92,1.15,TIDAK BERPOTENSI UPWELLING
6/2/2017,0.55,19.45,0.23,87.98,1.05,TIDAK BERPOTENSI UPWELLING
6/3/2017,0.53,19.18,58.16,88,0.99,BERPOTENSI UPWELLING
6/4/2017,0.59,19.63,2.71,87.93,0.84,TIDAK BERPOTENSI UPWELLING
6/5/2017,0.55,19.53,0,87.93,0.91,TIDAK BERPOTENSI UPWELLING
6/6/2017,0.52,19.46,0,87.94,1.09,TIDAK BERPOTENSI UPWELLING
6/7/2017,0.59,19.8,0,87.91,0.84,TIDAK BERPOTENSI UPWELLING
6/8/2017,0.61,20.69,14.92,87.86,0.69,TIDAK BERPOTENSI UPWELLING
6/9/2017,0.69,20.64,4.23,87.84,0.76,TIDAK BERPOTENSI UPWELLING
6/10/2017,0.66,20,0.09,87.94,0.84,TIDAK BERPOTENSI UPWELLING
6/11/2017,0.62,19.69,0.32,87.99,0.69,TIDAK BERPOTENSI UPWELLING
6/12/2017,0.54,20.24,0.55,87.93,0.65,TIDAK BERPOTENSI UPWELLING
6/13/2017,0.58,20.65,0.11,87.92,0.54,TIDAK BERPOTENSI UPWELLING
6/14/2017,0.34,20.45,0.21,87.96,0.63,TIDAK BERPOTENSI UPWELLING
6/15/2017,0.6,19.92,0.05,87.93,0.65,TIDAK BERPOTENSI UPWELLING
6/16/2017,0.6,20.41,7.72,87.87,0.88,TIDAK BERPOTENSI UPWELLING
6/17/2017,0.49,19.8,3.46,87.86,0.66,TIDAK BERPOTENSI UPWELLING
6/18/2017,0.51,19.1,0.05,87.88,0.75,TIDAK BERPOTENSI UPWELLING
6/19/2017,0.65,19.4,0.03,87.86,0.74,TIDAK BERPOTENSI UPWELLING
6/20/2017,0.65,19.48,0,87.89,0.72,TIDAK BERPOTENSI UPWELLING
6/21/2017,0.65,19.95,0.05,87.88,0.7,TIDAK BERPOTENSI UPWELLING
6/22/2017,0.52,19.57,4.18,87.94,0.76,TIDAK BERPOTENSI UPWELLING
6/23/2017,0.55,18.83,1.7,87.88,0.8,TIDAK BERPOTENSI UPWELLING
6/24/2017,0.46,18.47,3.69,87.8,0.8,TIDAK BERPOTENSI UPWELLING
6/25/2017,0.49,18.94,3.23,87.8,0.67,TIDAK BERPOTENSI UPWELLING
6/26/2017,0.39,19.53,0.38,87.86,0.74,TIDAK BERPOTENSI UPWELLING
6/27/2017,0.65,19.81,0.01,87.9,0.67,TIDAK BERPOTENSI UPWELLING
6/28/2017,0.63,19.24,6.1,87.91,0.84,TIDAK BERPOTENSI UPWELLING
6/29/2017,0.42,19.25,4.46,87.88,0.77,TIDAK BERPOTENSI UPWELLING
6/30/2017,0.55,18.92,1.55,87.82,0.87,TIDAK BERPOTENSI UPWELLING
7/1/2017,0.48,19.26,0.07,87.84,0.82,TIDAK BERPOTENSI UPWELLING
7/2/2017,0.59,19.53,0.02,87.9,0.87,TIDAK BERPOTENSI UPWELLING
7/3/2017,0.52,19.12,0,87.92,0.77,TIDAK BERPOTENSI UPWELLING
7/4/2017,0.52,19.73,0.1,87.91,0.88,TIDAK BERPOTENSI UPWELLING
7/5/2017,0.59,19.65,8.83,87.96,0.84,TIDAK BERPOTENSI UPWELLING
7/6/2017,0.45,18.45,18.27,87.93,0.72,TIDAK BERPOTENSI UPWELLING
7/7/2017,0.34,18.22,26.85,87.91,0.75,BERPOTENSI UPWELLING
7/8/2017,0.45,18.58,0.18,87.94,0.84,TIDAK BERPOTENSI UPWELLING
7/9/2017,0.6,19.59,0.05,87.96,0.72,TIDAK BERPOTENSI UPWELLING
7/10/2017,0.52,19.44,4.43,87.96,0.88,TIDAK BERPOTENSI UPWELLING
7/11/2017,0.38,18.99,1.63,87.94,1.03,TIDAK BERPOTENSI UPWELLING
7/12/2017,0.49,18.71,0.36,87.93,0.92,TIDAK BERPOTENSI UPWELLING
7/13/2017,0.47,17.48,9.64,87.99,1.45,TIDAK BERPOTENSI UPWELLING
7/14/2017,0.32,17.07,7.97,88.03,1.42,TIDAK BERPOTENSI UPWELLING
7/15/2017,0.49,18.23,0,87.96,1.02,TIDAK BERPOTENSI UPWELLING
7/16/2017,0.66,18.76,0.16,87.84,1.37,TIDAK BERPOTENSI UPWELLING
7/17/2017,0.61,17.33,0.01,87.87,1.21,TIDAK BERPOTENSI UPWELLING
7/18/2017,0.66,18.15,0,87.98,1.07,TIDAK BERPOTENSI UPWELLING
7/19/2017,0.56,18.98,0,87.96,0.98,TIDAK BERPOTENSI UPWELLING
7/20/2017,0.64,19.52,0.49,87.9,0.65,TIDAK BERPOTENSI UPWELLING
7/21/2017,0.65,19.76,0.08,87.93,0.68,TIDAK BERPOTENSI UPWELLING
7/22/2017,0.51,19.35,0,87.96,0.64,TIDAK BERPOTENSI UPWELLING
7/23/2017,0.7,19.39,0,87.92,0.95,TIDAK BERPOTENSI UPWELLING
7/24/2017,0.68,19.66,0,87.85,0.86,TIDAK BERPOTENSI UPWELLING
7/25/2017,0.62,19.01,0,87.82,0.95,TIDAK BERPOTENSI UPWELLING
7/26/2017,0.59,19.38,0.03,87.83,1.19,TIDAK BERPOTENSI UPWELLING
7/27/2017,0.36,18.49,3.53,87.91,1.35,TIDAK BERPOTENSI UPWELLING
7/28/2017,0.42,18.65,3.9,88.01,1.49,TIDAK BERPOTENSI UPWELLING
7/29/2017,0.49,18.69,0.13,87.95,0.91,TIDAK BERPOTENSI UPWELLING
7/30/2017,0.41,19.01,4.47,87.89,0.81,TIDAK BERPOTENSI UPWELLING
7/31/2017,0.33,19.55,14.32,87.88,1.07,TIDAK BERPOTENSI UPWELLING
8/1/2017,0.4,18.91,6.53,87.98,1.08,TIDAK BERPOTENSI UPWELLING
8/2/2017,0.61,19.62,1.5,87.96,0.93,TIDAK BERPOTENSI UPWELLING
8/3/2017,0.48,19.09,21.94,87.86,1.2,TIDAK BERPOTENSI UPWELLING
8/4/2017,0.28,18.23,27.92,87.78,1.39,BERPOTENSI UPWELLING
8/5/2017,0.48,18.13,20.34,87.76,1.24,TIDAK BERPOTENSI UPWELLING
8/6/2017,0.34,17.92,15.84,87.82,0.98,TIDAK BERPOTENSI UPWELLING
8/7/2017,0.59,19.12,5.12,87.85,0.62,TIDAK BERPOTENSI UPWELLING
8/8/2017,0.48,18.9,5.67,87.96,0.52,TIDAK BERPOTENSI UPWELLING
8/9/2017,0.38,18.83,0.34,88,0.54,TIDAK BERPOTENSI UPWELLING
8/10/2017,0.48,19.59,1.46,87.89,0.49,TIDAK BERPOTENSI UPWELLING
8/11/2017,0.41,19.06,1.06,87.93,0.63,TIDAK BERPOTENSI UPWELLING
8/12/2017,0.32,18.89,1.22,87.96,0.84,TIDAK BERPOTENSI UPWELLING
8/13/2017,0.41,18.5,23.35,87.96,0.71,TIDAK BERPOTENSI UPWELLING
8/14/2017,0.28,18.36,39.75,87.97,1.19,BERPOTENSI UPWELLING
8/15/2017,0.37,17.16,5.65,88.01,1.41,TIDAK BERPOTENSI UPWELLING
8/16/2017,0.52,17.51,0.02,87.88,1.15,TIDAK BERPOTENSI UPWELLING
8/17/2017,0.46,18.73,2.12,87.78,0.93,TIDAK BERPOTENSI UPWELLING
8/18/2017,0.63,19.7,0.19,87.79,0.72,TIDAK BERPOTENSI UPWELLING
8/19/2017,0.59,20.15,0,87.84,0.96,TIDAK BERPOTENSI UPWELLING
8/20/2017,0.61,20.55,0.06,87.79,0.66,TIDAK BERPOTENSI UPWELLING
8/21/2017,0.62,19.58,0.6,87.79,0.91,TIDAK BERPOTENSI UPWELLING
8/22/2017,0.7,19.12,0.57,87.77,0.79,TIDAK BERPOTENSI UPWELLING
8/23/2017,0.57,19.76,0.13,87.8,0.78,TIDAK BERPOTENSI UPWELLING
8/24/2017,0.57,19.88,0,87.8,0.84,TIDAK BERPOTENSI UPWELLING
8/25/2017,0.67,19.62,0,87.76,0.69,TIDAK BERPOTENSI UPWELLING
8/26/2017,0.47,20,2.32,87.66,0.59,TIDAK BERPOTENSI UPWELLING
8/27/2017,0.38,19.66,43.2,87.67,0.68,BERPOTENSI UPWELLING
8/28/2017,0.41,19.34,23.92,87.8,0.69,TIDAK BERPOTENSI UPWELLING
8/29/2017,0.58,20,1.02,87.79,0.58,TIDAK BERPOTENSI UPWELLING
